Topics,Title,Description,Titles
Financial Performance,Epic 'Killers of the Flower Moon' flops at the box office,"Despite its potentially promising box office takings in its first week in theaters, Apple TV+ movie ""Killers of the Flower Moon"" dropped 61% in its second weekend.Lily Gladstone and Leonardo DiCaprio in 'Killers of the Flower Moon'""Killers"" by director/co-wri…",
Other Movies,"No religion, smoking, doing drugs' on Apple TV+ — here's why and what's coming next to the tech giant's streamer","Apple TV+ is growing its slate of shows and movies. The streamer wants ""commercial fare"" and more reality TV series, according to leaked Hollywood agency documents.",
Scorsese,Marvel Director Disses Martin Scorsese With Video Flaunting Own Box Office Success,"Joe Russo, who co-directed the two highest-grossing ""Avengers"" films, took to Instagram to trounce Scorsese over his past comments about Marvel.",
Other Movies,"Apple announces new movie ‘The Family Plan’ starring Mark Wahlberg, streaming in time for Christmas","Apple TV+ today announced a new original movie The Family Plan, starring Mark Wahlberg. The film is set to stream globally on Apple’s streaming service from December 15, perfectly in time for the holiday period. 



The action-comedy feature sees Wahlberg pla…",
Scorsese,Timothée Chalamet Leads Martin Scorsese’s 60-Second Chanel Ad – Watch,Havana Liu Rose co-stars in the cologne campaign for the French fashion house.,
Actors,Robert De Niro takes stand to deny ex-assistant's gender discrimination claim,"The actor is said to be ""grumpy"" while giving evidence in a civil trial against a former assistant.",
Scorsese,You won't even have time for a pee break during Martin Scorsese's 60-second perfume ad,"Martin Scorsese is laughing right in the face of everyone (ahem, Joe Russo) who’s ever called him a pretentious snob, or someone who doesn’t know how to actually make money, or a one-trick-pony who can only turn out three-plus hour-long cinematic epics. Forge…",
Other Movies,"Disney’s ‘Wish’ Eyes $50M Debut, Apple & Sony’s ‘Napoleon’ To Gallop To $24M Over Thanksgiving 5-Day: Box Office Early Look","Let the feast begin: Thanksgiving releases and awards season contenders, Disney’s Wish and Apple Original Films and Sony’s Napoleon are set to open over the Wednesday to Sunday holiday stretch with respective grosses of $50M+ and $24M+. Both movies open on Th…",
Actors,"Robert De Niro On Trump, Marrakech Film Festival And Art “Creativity Comes From The Bottom Up”","The actor on Trump, Moroccan film and setting his entrepreneurial sites on Marrakech",
Financial Performance,Box Office vs. Oscar: What Matters in the End?,"Martin Scorsese has always been vocal about his love for cinema and the importance of telling stories that are about the complexities and beauty of characters and the worlds they inhabit. His mission is clear and alive in his latest feature, Killers of the Fl…",
Themes Covered,‘Killers of the Flower Moon’ Author David Grann Picks the Three Best Movies Based on Nonfiction Books (That He Didn't Write),Does any other cinematic take on a nonfiction bestseller hold a candle to Martin Scorsese’s bleak American epic? A living legend of the form weighs in.,
Other Movies,Priscilla Is a Quintessential Sofia Coppola Movie,"Pretty surfaces, thin psychology.",
Actors,"Every Leonardo DiCaprio Movie, Ranked","Whether he's wrestling bears or performing dream espionage, DiCaprio is one of his generation's bonafide greats. Here's where 'Killers of the Flower Moon' fits in.",
Movie Review,"My Recent Media Diet, Fall 2023 Edition","I know I always say this, but I didn’t mean for so much time to elapse since the last installment of the media diet. But I h",
Themes Covered,Killers Of The Flower Moon Surprisingly Continues A Major 2023 Story Pattern,Killers of the Flower Moon takes a period piece and makes it shockingly prescient with one storyline that follows a major 2023 story pattern.,
Production,This Killers Of The Flower Moon Controversy Shows Why One Lost Movie Tradition Needs To Come Back,The release of Martin Scorsese's 3-and-a-half-hour historical crime epic has some calling for the return of one of cinema's oldest practices.,
Unrelated,SAG-AFTRA & Studios “Closer & Closer” To A Deal; More Talks Set For Thursday,"EXCLUSIVE: There’s real movement in talks between SAG-AFTRA and the studios for a new three-year contract, No deal yet, but a framework is in place for a potential agreement, we hear. Back in negotiations Wednesday on day 111 of the actors strike, the two sid…",
Actors,Robert De Niro Yells ‘Shame On You’ And Other Outbursts During Gender Discrimination Trial,The actor was sued in 2019 by his former assistant for gender discrimination and retaliation.,
Themes Covered,Gripped by Killers of the Flower Moon? Netflix’s new doc delves into another dark part of America’s past,"Based on the bestselling book of the same name, Stamped from the Beginning isn't an easy watch but it's a powerful and compelling one.",
Scorsese,"Martin Scorsese's first Letterboxd list provides a ""companion film"" for each of his movies",From The Wolf of Wall Street to The King of Comedy,
Unrelated,"Apple Revenue Eased Again Last Quarter As Rising Services & IPhone Sales Couldn’t Offset Dips Elsewhere; Investors Await Commentary Around IPhone 15, China","The world’s most valuable company saw another revenue dip with sales down about 1% at $89.5 billion (a hair above Wall Street expectations) for its fiscal fourth quarter. EPS at $1.46 was up 13% percent year-on-year for the three months ended in September, al…",
Unrelated,David Fincher and Alexander Payne Reboot Their Pre-Millenium Ennui,The Fight Club and Election directors return to their,
Scorsese,Scorsese On Fraser’s Divisive “Killers” Role,Filmmaker Martin Scorsese has praised actor Brendan Fraser’s performance in Scorsese’s period epic “Killers of the Flower Moon” as being ‘perfect’ for how he wanted the role portrayed. Oscar-winner Fraser is one of countless character actors in smaller roles …,
Actors,Robert De Niro Indelicately Explains Why He Called Assistant Twice At Funeral,The movie icon may not have come off as a good fella in his testimony at a gender-discrimination trial.,
Scorsese,Joe Russo Ignites Internet Backlash After Making a Joke About Martin Scorsese,"Director Martin Scorsese has been quoted making comments about the argument of Marvel movies as cinema, taking jabs at the superhero genre, and the validity of films made by directors like The Russo Brothers. But Joe Russo made a joke this week at the expense…",
Actors,"Robert De Niro tells jury that claims by ex-assistant are ""nonsense""",The two-time Oscar-winning actor at times appeared grouchy and twice raised his voice almost to a shout during his testimony.,
Themes Covered,KILLERS OF THE FLOWER MOON Misses Its Own Point,"Killers of the Flower Moon is a fantastic movie but it's tainted by focusing on the perpetrators of the atrocities.
The post KILLERS OF THE FLOWER MOON Misses Its Own Point appeared first on Nerdist.",
Actors,"The Engaging, Exciting, and Epic Films of Martin Scorsese and Leonardo DiCaprio, Ranked",Where does 'Killers of the Flower Moon' rank?,
Unrelated,"Cutting Edge: Thelma Schoonmaker on Powell and Pressburger, Scene by Scene",,
Actors,Robert De Niro apologises for angry outburst in court as he denies abusing former assistant,"The two-time Oscar winner angrily denies numerous allegations of abusive behaviour towards his former assistant and vice-president, who is seeking damages for emotional distress and reputational damage in a New York federal court.",
Other Movies,"Apple Original Films’ epic ‘Napoleon,’ from Ridley Scott, expected to open big on November 22nd","Apple Original Films and Sony's ""Napoleon"" is set to open over the Wednesday to Sunday holiday stretch with an estimated gross of…
The post Apple Original Films’ epic ‘Napoleon,’ from Ridley Scott, expected to open big on November 22nd appeared first on MacDa…",
Other Movies,"John Wick: Chapter 4 Director Passionately Reacts To Oscar Buzz For Keanu Reeves Sequel: ""I Was Pretty Impressed""",Exclusive: Director Chad Stahelski offers a passionate reaction to John Wick: Chapter 4 getting Oscar buzz and his confidence in its chances.,
