title,description,content
Epic 'Killers of the Flower Moon' flops at the box office,"Despite its potentially promising box office takings in its first week in theaters, Apple TV+ movie ""Killers of the Flower Moon"" dropped 61% in its second weekend.Lily Gladstone and Leonardo DiCaprio in 'Killers of the Flower Moon'""Killers"" by director/co-wri…","Lily Gladstone and Leonardo DiCaprio in 'Killers of the Flower Moon'
Despite its potentially promising box office takings in its first week in theaters, Apple TV+ movie ""Killers of the Flower Moon"" … [+1619 chars]"
"'No religion, smoking, doing drugs' on Apple TV+ — here's why and what's coming next to the tech giant's streamer","Apple TV+ is growing its slate of shows and movies. The streamer wants ""commercial fare"" and more reality TV series, according to leaked Hollywood agency documents.","Apple won't do ""bloody horror"" but would ""love"" its own version of John Krasinski's Paramount sci-fi horror hit, ""A Quiet Place.""Paramount
<ul><li>Apple TV+ is buying new shows and movies, even as H… [+4583 chars]"
Marvel Director Disses Martin Scorsese With Video Flaunting Own Box Office Success,"Joe Russo, who co-directed the two highest-grossing ""Avengers"" films, took to Instagram to trounce Scorsese over his past comments about Marvel.","The battle between Marvel and Martin Scorsese fans has reached a fever pitch.
The Killers of the Flower Moon director famously said in 2019 that superhero movies are not cinema. After being slammed … [+4375 chars]"
"Apple announces new movie ‘The Family Plan’ starring Mark Wahlberg, streaming in time for Christmas","Apple TV+ today announced a new original movie The Family Plan, starring Mark Wahlberg. The film is set to stream globally on Apple’s streaming service from December 15, perfectly in time for the holiday period. 



The action-comedy feature sees Wahlberg pla…","Apple TV+ today announced a new original movie The Family Plan, starring Mark Wahlberg. The film is set to stream globally on Apple’s streaming service from December 15, perfectly in time for the hol… [+1424 chars]"
Timothée Chalamet Leads Martin Scorsese’s 60-Second Chanel Ad – Watch,Havana Liu Rose co-stars in the cologne campaign for the French fashion house.,"Timothée Chalamet is making his Martin Scorsese cinematic debut in Scorseses “most difficult” project yet. 
The Oscar-nominated actor leads the Bleu de Chanel men’s fragrance campaign for Chanel, wi… [+3315 chars]"
Robert De Niro takes stand to deny ex-assistant's gender discrimination claim,"The actor is said to be ""grumpy"" while giving evidence in a civil trial against a former assistant.","Robert De Niro took the stand on the first day of a civil trial against a former employee who sued the actor over claims of gender discrimination.
Graham Chase Robinson says the star underpaid her, … [+3178 chars]"
You won't even have time for a pee break during Martin Scorsese's 60-second perfume ad,"Martin Scorsese is laughing right in the face of everyone (ahem, Joe Russo) who’s ever called him a pretentious snob, or someone who doesn’t know how to actually make money, or a one-trick-pony who can only turn out three-plus hour-long cinematic epics. Forge…","Martin Scorsese is laughing right in the face of everyone (ahem, Joe Russo) whos ever called him a pretentious snob, or someone who doesnt know how to actually make money, or a one-trick-pony who can… [+1848 chars]"
"Disney’s ‘Wish’ Eyes $50M Debut, Apple & Sony’s ‘Napoleon’ To Gallop To $24M Over Thanksgiving 5-Day: Box Office Early Look","Let the feast begin: Thanksgiving releases and awards season contenders, Disney’s Wish and Apple Original Films and Sony’s Napoleon are set to open over the Wednesday to Sunday holiday stretch with respective grosses of $50M+ and $24M+. Both movies open on Th…","Let the feast begin: Thanksgiving releases and awards season contenders, Disney‘s Wishand Apple Original Films and Sony‘s Napoleonare set to open over the Wednesday to Sunday holiday stretch with res… [+1761 chars]"
"Robert De Niro On Trump, Marrakech Film Festival And Art “Creativity Comes From The Bottom Up”","The actor on Trump, Moroccan film and setting his entrepreneurial sites on Marrakech","Robert De Niro at the ""Killers Of The Flower Moon"" Photocall at the 76th Annual Cannes Film Festival ... [+] (Photo by Gareth Cattermole/Getty Images)
Getty Images
As actors gather for Novembers Ma… [+5278 chars]"
Box Office vs. Oscar: What Matters in the End?,"Martin Scorsese has always been vocal about his love for cinema and the importance of telling stories that are about the complexities and beauty of characters and the worlds they inhabit. His mission is clear and alive in his latest feature, Killers of the Fl…",Martin Scorsese has always been vocal about his love for cinema and the importance of telling stories that are about the complexities and beauty of characters and the worlds they inhabit. His mission… [+6090 chars]
‘Killers of the Flower Moon’ Author David Grann Picks the Three Best Movies Based on Nonfiction Books (That He Didn't Write),Does any other cinematic take on a nonfiction bestseller hold a candle to Martin Scorsese’s bleak American epic? A living legend of the form weighs in.,"Anyone who reads a lot of popular non-fiction is accustomed to the inevitable disappointment of the movie version. Stinkers like Unbroken, In The Heart of the Sea, and Hes Just Not That Into You (and… [+3289 chars]"
Priscilla Is a Quintessential Sofia Coppola Movie,"Pretty surfaces, thin psychology.","This week, the panel begins by discussing Priscilla, Sofia Coppolas new film starring Cailee Spaeny and Jacob Elordi thats based on Priscilla Presleys memoir, Elvis and Me, and features an otherworld… [+1428 chars]"
"Every Leonardo DiCaprio Movie, Ranked","Whether he's wrestling bears or performing dream espionage, DiCaprio is one of his generation's bonafide greats. Here's where 'Killers of the Flower Moon' fits in.","Sure, Leo gets a boost from *checks IMDB* Meryl Streep, Diane Keaton, and Roberto De Niro, but Marvins Room, at times, feels written partly as a showcase for DiCaprios range. Playing Hank, a troubled… [+392 chars]"
"My Recent Media Diet, Fall 2023 Edition","I know I always say this, but I didn’t mean for so much time to elapse since the last installment of the media diet. But I h","I know I always say this, but I didn’t mean for so much time to elapse since the last installment of the media diet. But I have a slightly different reason for the delay this time: I have been really… [+8200 chars]"
Killers Of The Flower Moon Surprisingly Continues A Major 2023 Story Pattern,Killers of the Flower Moon takes a period piece and makes it shockingly prescient with one storyline that follows a major 2023 story pattern.,"Summary
<ul><li>Killers of the Flower Moon is a period piece that tackles a sadly relevant topic: the exploitation of indigenous communities for their resources. </li><li> The film's opioid storylin… [+5017 chars]"
This Killers Of The Flower Moon Controversy Shows Why One Lost Movie Tradition Needs To Come Back,The release of Martin Scorsese's 3-and-a-half-hour historical crime epic has some calling for the return of one of cinema's oldest practices.,"Summary
<ul><li> The trend of lengthy runtimes in films, including Killers of The Flower Moon, has reignited the debate around the need for intermissions in cinema. </li><li> The practice of intermi… [+7311 chars]"
